url,brand,product_name, sale_price , mrp 
https://in.puma.com/in/en/pd/silvia-v2-womens-slides/387980?swatch=04,Puma,Silvia V2 Women's Slides," ? 2,249.00 "," ? 2,499.00 "
https://in.puma.com/in/en/pd/mostro-spikes-sneakers/403818?swatch=01,Puma,Mostro Spikes Sneakers," ? 9,749.00 "," ? 12,999.00 "
https://in.puma.com/in/en/pd/deviate-nitro-3-womens-running-shoes/309708?swatch=20,Puma,Deviate NITRO™ 3 Women's Running Shoes,," ? 15,999.00 "
https://in.puma.com/in/en/pd/ascenso-sneakers/403307?swatch=04,Puma,Ascenso Sneakers,," ? 6,499.00 "
https://in.puma.com/in/en/pd/royalcat-comfort-softride-daze-womens-slides/397159?swatch=04,Puma,Royalcat Comfort Softride Daze Women's Slides,," ? 2,999.00 "
https://in.puma.com/in/en/pd/scuderia-ferrari-palermo-sneakers/308899?swatch=03,Puma,Scuderia Ferrari Palermo Sneakers,," ? 7,999.00 "
https://in.puma.com/in/en/pd/scuderia-ferrari-hp-speedcat-sneakers/308905?swatch=04,Puma,Scuderia Ferrari HP Speedcat Sneakers,," ? 10,999.00 "
https://in.puma.com/in/en/pd/rs-z-bp-sneakers/382650?swatch=01,Puma,RS-Z BP Sneakers," ? 5,199.00 "," ? 9,999.00 "
https://in.puma.com/in/en/pd/slipstream-bball-sneakers/404692?swatch=01,Puma,Slipstream Bball Sneakers," ? 4,799.00 "," ? 7,999.00 "
https://in.puma.com/in/en/pd/velocity-nitro-2-wtr-womens-running-shoes/376918?swatch=02,Puma,Velocity NITRO™ 2 WTR Women's Running Shoes," ? 10,399.00 "," ? 12,999.00 "
https://in.puma.com/in/en/pd/softride-sophia-2-womens-slip-on-shoes/311886?swatch=02,Puma,Softride Sophia 2 Women's Slip-On Shoes," ? 4,124.00 "," ? 5,499.00 "
https://in.puma.com/in/en/pd/puma-x-ray-slimmic-metallic-womens-sneakers/394651?swatch=01,Puma,PUMA X-Ray Slimmic Metallic Women's Sneakers," ? 3,574.00 "," ? 5,499.00 "
https://in.puma.com/in/en/pd/velocity-nitro-3-womens-running-shoes/309702?swatch=01,Puma,Velocity NITRO™ 3 Women's Running Shoes," ? 11,699.00 "," ? 12,999.00 "
https://in.puma.com/in/en/pd/deviate-nitro-3-womens-running-shoes/309708?swatch=22,Puma,Deviate NITRO™ 3 Women's Running Shoes,," ? 15,999.00 "
https://in.puma.com/in/en/pd/puma-x-harry-potter-palermo-2-leather-tongue-sneakers/405996?swatch=01,Puma,PUMA X HARRY POTTER Palermo 2 Leather Tongue Sneakers,," ? 7,999.00 "
https://in.puma.com/in/en/pd/all-pro-nitro-2-basketball-shoes/312307?swatch=03,Puma,All-Pro NITRO™ 2 Basketball Shoes,," ? 11,999.00 "
https://in.puma.com/in/en/pd/bmw-mms-neo-cat-mid-2-0-driving-shoes/309236?swatch=01,Puma,BMW MMS Neo Cat Mid 2.0 Driving Shoes," ? 4,679.00 "," ? 8,999.00 "
https://in.puma.com/in/en/pd/leadcat-2-0-slides/395229?swatch=02,Puma,Leadcat 2.0 Slides," ? 1,749.00 "," ? 2,499.00 "
https://in.puma.com/in/en/pd/puma-quickblaze-womens-lightweight-running-shoes/312507?swatch=01,Puma,PUMA QuickBlaze Women's Lightweight Running Shoes," ? 4,399.00 "," ? 5,499.00 "
https://in.puma.com/in/en/pd/puma-x-first-mile-velocity-nitro-2-womens-running-shoes/379114?swatch=01,Puma,PUMA x FIRST MILE Velocity NITRO™ 2 Women's Running Shoes," ? 10,399.00 "," ? 12,999.00 "
https://in.puma.com/in/en/pd/skyrocket-lite-ultra-lightweight-running-shoes/313354?swatch=01,Puma,Skyrocket Lite Ultra Lightweight Running Shoes," ? 6,299.00 "," ? 6,999.00 "
https://in.puma.com/in/en/pd/court-shatter-low-sneakers/399844?swatch=02,Puma,Court Shatter Low Sneakers," ? 3,899.00 "," ? 5,999.00 "
https://in.puma.com/in/en/pd/smash-comfort-sneakers/400357?swatch=01,Puma,Smash Comfort Sneakers," ? 2,999.00 "," ? 3,999.00 "
